"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"2","Great news ! @billgates commits $50m for  #dementia #research 
#clinicaltrials #diagnosis #BigData… https://t.co/LpZeOj0xk3",FALSE,5,NA,2017-11-13 17:15:15,TRUE,NA,"930121894430498816",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","MopeadEU",1,FALSE,FALSE,NA,NA
"3","Thanks @billgates for investing $50m in #dementia #research 
#clinicaltrials #diagnosis #BigData… https://t.co/HvOm939BWB",FALSE,0,NA,2017-11-13 17:06:17,TRUE,NA,"930119638574301184",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Annette_Dumas",0,FALSE,FALSE,NA,NA
"11","4 Reasons why Advancing Big Data Helps The ... https://t.co/G81MIFHjnu #Big-Data #CT-Scan #Cutaneous-Condition… https://t.co/qZ1BMbJjvL",FALSE,2,NA,2017-11-12 16:43:18,TRUE,NA,"929751465941504000",NA,"<a href=""http://www.7wdata.be"" rel=""nofollow"">7wData via @YvesMulkers</a>","YvesMulkers",0,FALSE,FALSE,NA,NA
"14","Screening, epidemiology &amp; big data can change #health outcomes. Could your EHRs &amp; #OpenInnovation help diagnosis? https://t.co/0Pj1zSGAyy",FALSE,4,NA,2017-11-10 16:15:05,FALSE,NA,"929019592160276482",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow"">Hootsuite</a>","DigiCatapult",4,FALSE,FALSE,NA,NA
"1617","Tech_Data: 70% of Healthcare Execs Pin Growth to #BigData #Analytics Skills https://t.co/2VxshM8BGa",FALSE,0,NA,2017-11-13 19:09:07,FALSE,NA,"930150549646868480",NA,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>","n_badwal",0,FALSE,FALSE,NA,NA
"2100","70% of Healthcare Execs Pin Growth to #BigData #Analytics Skills https://t.co/9w5ZdSeD1S",FALSE,0,NA,2017-11-13 19:07:01,FALSE,NA,"930150021378519040",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","Tech_Data",0,FALSE,FALSE,NA,NA
"7100","Ten Major Challenges of Big Data Analytics in the Healthcare Industry of Today by @HectorWachter https://t.co/NqJ216oBif",FALSE,0,NA,2017-11-13 18:28:02,FALSE,NA,"930140214365958144",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","marisbotero",0,FALSE,FALSE,NA,NA
"9","Data boom for #lifesciences #insurtech #AI #Healthcare @andi_staub

#fintech
<U+27A1><U+FE0F>https://t.co/FVR5EfMI7T https://t.co/f9yh5VxryK",FALSE,2,NA,2017-11-13 18:08:11,FALSE,NA,"930135216966037504",NA,"<a href=""http://www.hootsuite.com"" rel=""nofollow""> Hootsuite </a>","sbmeunier",3,FALSE,FALSE,NA,NA
"10100","The key to good outcomes as healthcare’s dependence on data deepens - https://t.co/DTQZ5e0vUr @DavidRichards @InfoWorld @IDGCN",FALSE,0,NA,2017-11-13 17:40:08,FALSE,NA,"930128160057737216",NA,"<a href=""http://www.idg.com"" rel=""nofollow"">IDG Media Platform</a>","IDGCN",0,FALSE,FALSE,NA,NA
"14100","#BigData #ArtificialIntelligence #IoT May Change #healthcare in 2017 . Read more at https://t.co/d1Xjhy0jMh",FALSE,0,NA,2017-11-13 17:20:01,FALSE,NA,"930123095658020866",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","ClinicSpectrum",0,FALSE,FALSE,NA,NA
"15","Ten major challenges of #bigdata analytics in the #healthcare industry of today. https://t.co/ZiwGH2HDM4 https://t.co/zIMoUnCgnY",FALSE,0,NA,2017-11-13 17:08:03,FALSE,NA,"930120085221593088",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","bigdataweek",0,FALSE,FALSE,NA,NA
"17","Need big data, healthcare, or security/management #govIT solutions? Find out how we can help: https://t.co/Y8chWmKGxl",FALSE,1,NA,2017-11-13 17:00:12,FALSE,NA,"930118108865548288",NA,"<a href=""http://sproutsocial.com"" rel=""nofollow"">Sprout Social</a>","FedResults",0,FALSE,FALSE,NA,NA
"19","Free Webinars in November – Learn from Big Data &amp; Machine Learning Applications in Healthcare #voicefirst #AI #tech  https://t.co/64KCVIFNA0",FALSE,0,NA,2017-11-13 16:51:11,FALSE,NA,"930115841328377867",NA,"<a href=""http://bufferapp.com"" rel=""nofollow"">Buffer</a>","VoiceXPInc",1,FALSE,FALSE,NA,NA
"21","https://t.co/QQWga47YGM",FALSE,0,NA,2017-11-13 16:48:04,FALSE,NA,"930115054057525249",NA,"<a href=""https://twittimer.com"" rel=""nofollow"">Twittimer</a>","BBConsultant",0,FALSE,FALSE,NA,NA
